"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
World,"119,116,819","+15,373","2,641,763",+746,"94,730,943","+16,000","21,744,113","89,952","15,282",338.9,,,,All,"
",,
USA,"29,925,902",,"543,721 ",,"20,797,298",,"8,584,883","12,504","90,044","1,636","374,470,971","1,126,748","332,346,783 ",North America,11,611,1
India,"11,308,846","+2,867","158,326 ",,"10,953,303","+6,051","197,217","8,944","8,139",114,"224,998,638","161,941","1,389,382,743 ",Asia,123,"8,775",6
Brazil,"11,284,269",,"273,124 ",,"9,958,566",,"1,052,579","8,318","52,828","1,279","28,600,000","133,892","213,605,166 ",South America,19,782,7
Russia,"4,360,823",,"90,734 ",,"3,959,533",,"310,556","2,300","29,873",622,"113,800,000","779,570","145,977,899 ",Europe,33,"1,609",1
UK,"4,241,677",,"125,168 ",,"3,386,655",,"729,854","1,237","62,256","1,837","101,314,223","1,487,006","68,133,028 ",Europe,16,544,1
France,"3,990,331",,"89,830 ",,"270,433",,"3,630,068","3,992","61,039","1,374","56,091,946","858,020","65,373,694 ",Europe,16,728,1
Spain,"3,178,356",,"72,085 ",,"2,857,714",,"248,557","2,264","67,961","1,541","40,292,390","861,550","46,767,349 ",Europe,15,649,1
Italy,"3,149,017",,"101,184 ",,"2,550,483",,"497,350","2,859","52,136","1,675","43,606,758","721,965","60,400,064 ",Europe,19,597,1
Turkey,"2,835,989",,"29,290 ",,"2,659,093",,"147,606","1,310","33,378",345,"34,694,624","408,335","84,966,101 ",Asia,30,"2,901",2
Germany,"2,546,510",,"73,560 ",,"2,337,000",,"135,950","2,848","30,327",876,"46,319,641","551,623","83,969,683 ",Europe,33,"1,142",2
Colombia,"2,290,539",,"60,858 ",,"2,191,171",,"38,510","1,982","44,687","1,187","11,870,511","231,585","51,257,626 ",South America,22,842,4
Argentina,"2,177,898",,"53,493 ",,"1,968,462",,"155,943","3,438","47,884","1,176","7,887,278","173,413","45,482,534 ",South America,21,850,6
Mexico,"2,151,028","+6,470","193,142 ",+654,"1,691,093","+5,097","266,793","4,798","16,563","1,487","5,711,049","43,976","129,868,807 ",North America,60,672,23
Poland,"1,849,424",,"46,373 ",,"1,516,540",,"286,511","1,929","48,904","1,226","10,469,991","276,853","37,817,820 ",Europe,20,816,4
Iran,"1,723,470",,"61,016 ",,"1,471,179",,"191,275","3,818","20,340",720,"11,467,053","135,328","84,735,009 ",Asia,49,"1,389",7
South Africa,"1,525,648",,"51,110 ",,"1,447,503",,"27,035",546,"25,502",854,"9,369,594","156,617","59,824,880 ",Africa,39,"1,171",6
Ukraine,"1,425,522",,"27,685 ",,"1,210,246",,"187,591",177,"32,732",636,"7,154,442","164,278","43,550,899 ",Europe,31,"1,573",6
Indonesia,"1,403,722",,"38,049 ",,"1,224,603",,"141,070",,"5,095",138,"11,379,656","41,302","275,522,178 ",Asia,196,"7,241",24
Peru,"1,394,571",,"48,484 ",,"1,301,439",,"44,648","2,201","41,893","1,456","8,105,930","243,504","33,288,708 ",South America,24,687,4
Czechia,"1,365,724",,"22,624 ",,"1,178,832",,"164,268","1,916","127,367","2,110","9,222,784","860,113","10,722,763 ",Europe,8,474,1
Netherlands,"1,138,796",,"15,998 ",,N/A,N/A,N/A,572,"66,359",932,"6,970,400","406,173","17,161,169 ",Europe,15,"1,073",2
Canada,"899,757",,"22,371 ",,"846,714",,"30,672",549,"23,696",589,"25,542,543","672,685","37,971,008 ",North America,42,"1,697",1
Chile,"873,512",,"21,362 ",,"821,294",,"30,856","1,910","45,425","1,111","9,916,911","515,708","19,229,693 ",South America,22,900,2
Romania,"845,352",,"21,252 ",,"774,277",,"49,823","1,171","44,148","1,110","6,649,657","347,270","19,148,352 ",Europe,23,901,3
Israel,"814,250",,"5,967 ",,"773,769",,"34,514",625,"88,529",649,"12,774,726","1,388,921","9,197,590 ",Asia,11,"1,541",1
Portugal,"812,575",,"16,635 ",,"744,196",,"51,744",273,"79,852","1,635","8,480,932","833,421","10,176,043 ",Europe,13,612,1
Belgium,"794,605",,"22,347 ",,"53,888",,"718,370",441,"68,356","1,922","9,896,947","851,381","11,624,575 ",Europe,15,520,1
Iraq,"745,642",,"13,671 ",,"674,345",,"57,626",426,"18,257",335,"7,278,544","178,210","40,842,463 ",Asia,55,"2,988",6
Sweden,"707,192",,"13,111 ",,N/A,N/A,N/A,219,"69,723","1,293","6,378,529","628,868","10,142,867 ",Europe,14,774,2
Philippines,"607,048",,"12,608 ",,"546,671",,"47,769",785,"5,489",114,"9,183,552","83,043","110,587,545 ",Asia,182,"8,771",12
Pakistan,"600,198","+2,701","13,430 ",+53,"568,065","+1,572","18,703","1,709","2,681",60,"9,402,639","42,005","223,843,061 ",Asia,373,"16,667",24
Switzerland,"569,312",,"10,090 ",,"526,511",,"32,711",159,"65,450","1,160","5,354,200","615,537","8,698,423 ",Europe,15,862,2
Bangladesh,"554,156",,"8,502 ",,"507,920",,"37,734",,"3,342",51,"4,216,028","25,425","165,823,454 ",Asia,299,"19,504",39
Serbia,"503,291",,"4,644 ",,"400,347",,"98,300",213,"57,764",533,"3,106,074","356,492","8,712,896 ",Europe,17,"1,876",3
Hungary,"489,172",,"16,497 ",,"344,267",,"128,408",911,"50,727","1,711","3,955,994","410,232","9,643,303 ",Europe,20,585,2
Morocco,"487,750",,"8,712 ",,"474,257",,"4,781",274,"13,107",234,"5,767,741","154,994","37,212,677 ",Africa,76,"4,271",6
Austria,"484,916",,"8,798 ",,"450,862",,"25,256",329,"53,629",973,"5,878,826","650,170","9,041,987 ",Europe,19,"1,028",2
Jordan,"457,151",,"5,169 ",,"382,949",,"69,033",549,"44,500",503,"5,053,264","491,891","10,273,146 ",Asia,22,"1,987",2
Japan,"443,001",,"8,402 ",,"422,542",,"12,057",354,"3,510",67,"8,776,241","69,538","126,207,313 ",Asia,285,"15,021",14
UAE,"419,996",,"1,369 ",,"399,803",,"18,824",,"42,114",137,"33,108,534","3,319,846","9,972,913 ",Asia,24,"7,285",0
Lebanon,"408,909",,"5,230 ",,"319,629",,"84,050",938,"60,097",769,"3,220,426","473,301","6,804,185 ",Asia,17,"1,301",2
Saudi Arabia,"381,348",,"6,551 ",,"371,850",,"2,947",538,"10,838",186,"14,175,803","402,864","35,187,590 ",Asia,92,"5,371",2
Panama,"346,775",,"5,972 ",,"334,256",,"6,547",195,"79,507","1,369","1,995,370","457,488","4,361,582 ",North America,13,730,2
Slovakia,"331,571",,"8,244 ",,"255,300",,"68,027",674,"60,711","1,509","2,164,779","396,372","5,461,478 ",Europe,16,662,3
Malaysia,"319,364",,"1,200 ",,"300,620",,"17,544",147,"9,781",37,"6,696,247","205,078","32,652,231 ",Asia,102,"27,210",5
Belarus,"298,960",,"2,070 ",,"289,622",,"7,268",,"31,645",219,"5,048,874","534,433","9,447,165 ",Europe,32,"4,564",2
Ecuador,"297,957",,"16,128 ",,"256,009",,"25,820",527,"16,713",905,"1,053,241","59,079","17,827,757 ",South America,60,"1,105",17
Nepal,"275,070",,"3,012 ",,"271,116",,942,,"9,325",102,"2,203,438","74,699","29,497,597 ",Asia,107,"9,793",13
Georgia,"274,045",,"3,622 ",,"267,421",,"3,002",,"68,789",909,"2,907,544","729,833","3,983,847 ",Asia,15,"1,100",1
Bulgaria,"272,700",,"11,094 ",,"221,783",,"39,823",502,"39,453","1,605","1,809,772","261,830","6,912,019 ",Europe,25,623,4
Bolivia,"257,240",+778,"11,903 ",+19,"202,216","+1,316","43,121",71,"21,832","1,010","783,751","66,516","11,782,882 ",South America,46,990,15
Croatia,"248,838",,"5,635 ",,"238,914",,"4,289",79,"60,876","1,379","1,410,383","345,036","4,087,646 ",Europe,16,725,3
Dominican Republic,"244,923",,"3,204 ",,"200,284",,"41,435",175,"22,422",293,"1,241,357","113,645","10,923,097 ",North America,45,"3,409",9
Tunisia,"239,977",,"8,313 ",,"206,293",,"25,371",266,"20,159",698,"1,022,099","85,861","11,904,075 ",Africa,50,"1,432",12
Azerbaijan,"238,383",,"3,262 ",,"230,244",,"4,877",,"23,365",320,"2,682,116","262,891","10,202,372 ",Asia,43,"3,128",4
Ireland,"225,179",,"4,509 ",,"23,364",,"197,306",87,"45,254",906,"3,688,558","741,286","4,975,888 ",Europe,22,"1,104",1
Kazakhstan,"221,669",+899,"2,837 ",,"204,782",+653,"14,050",221,"11,709",150,"7,925,003","418,608","18,931,796 ",Asia,85,"6,673",2
Denmark,"218,660",,"2,384 ",,"208,020",,"8,256",44,"37,659",411,"19,763,559","3,403,788","5,806,342 ",Europe,27,"2,436",0
Greece,"214,661",,"6,937 ",,"182,945",,"24,779",506,"20,665",668,"5,739,899","552,570","10,387,636 ",Europe,48,"1,497",2
Costa Rica,"207,832",,"2,848 ",,"188,151",,"16,833",139,"40,542",556,"717,791","140,022","5,126,283 ",North America,25,"1,800",7
Kuwait,"205,893",,"1,148 ",,"190,235",,"14,510",197,"47,725",266,"1,885,915","437,149","4,314,122 ",Asia,21,"3,758",2
Lithuania,"203,992",,"3,363 ",,"190,131",,"10,498",148,"75,671","1,248","2,198,756","815,631","2,695,772 ",Europe,13,802,1
Palestine,"203,669",,"2,211 ",,"181,452",,"20,006",155,"39,297",427,"1,262,358","243,565","5,182,836 ",Asia,25,"2,344",4
Moldova,"200,124",,"4,220 ",,"175,111",,"20,793",331,"49,690","1,048","758,890","188,429","4,027,448 ",Europe,20,954,5
Slovenia,"198,234",,"3,918 ",,"183,848",,"10,468",90,"95,344","1,884","961,901","462,645","2,079,136 ",Europe,10,531,2
Egypt,"189,000",,"11,169 ",,"145,923",,"31,908",90,"1,823",108,"1,000,000","9,647","103,662,615 ",Africa,548,"9,281",104
Guatemala,"181,143",,"6,531 ",,"166,923",,"7,689",5,"9,984",360,"965,028","53,188","18,143,667 ",North America,100,"2,778",19
Honduras,"176,427",+985,"4,311 ",+10,"68,500",+150,"103,616",440,"17,619",431,"470,492","46,987","10,013,173 ",North America,57,"2,323",21
Armenia,"176,286",,"3,239 ",,"165,441",,"7,606",,"59,414","1,092","761,945","256,799","2,967,085 ",Asia,17,916,4
Paraguay,"175,827",,"3,411 ",,"145,470",,"26,946",331,"24,444",474,"796,345","110,711","7,193,028 ",South America,41,"2,109",9
Ethiopia,"171,210",,"2,483 ",,"140,840",,"27,887",428,"1,464",21,"2,207,195","18,878","116,917,201 ",Africa,683,"47,087",53
Qatar,"168,829",,264 ,,"157,242",,"11,323",119,"60,128",94,"1,603,693","571,155","2,807,805 ",Asia,17,"10,636",2
Nigeria,"159,933",,"2,001 ",,"142,404",,"15,528",10,763,10,"1,601,396","7,639","209,644,677 ",Africa,"1,311","104,770",131
Oman,"145,257",,"1,600 ",,"135,227",,"8,430",72,"27,957",308,"1,550,000","298,324","5,195,694 ",Asia,36,"3,247",3
Venezuela,"144,277",,"1,415 ",,"136,269",,"6,593",139,"5,084",50,"2,987,875","105,281","28,379,937 ",South America,197,"20,056",9
Libya,"142,671",,"2,340 ",,"129,706",,"10,625",,"20,570",337,"772,626","111,397","6,935,761 ",Africa,49,"2,964",9
Myanmar,"142,114",,"3,201 ",,"131,722",,"7,191",,"2,600",59,"2,506,825","45,860","54,662,295 ",Asia,385,"17,077",22
Bosnia and Herzegovina,"140,990",,"5,410 ",,"119,904",,"15,676",,"43,161","1,656","702,920","215,183","3,266,615 ",Europe,23,604,5
Bahrain,"129,081",,478 ,,"122,416",,"6,187",58,"74,102",274,"3,259,914","1,871,432","1,741,936 ",Asia,13,"3,644",1
Albania,"115,442",,"2,002 ",,"78,259",,"35,181",46,"40,145",696,"496,754","172,747","2,875,614 ",Europe,25,"1,436",6
Algeria,"114,851",,"3,028 ",,"79,556",,"32,267",19,"2,587",68,,,"44,396,169 ",Africa,387,"14,662",
Kenya,"111,185",,"1,899 ",,"87,994",,"21,292",91,"2,037",35,"1,352,126","24,771","54,585,031 ",Africa,491,"28,744",40
North Macedonia,"110,209",,"3,265 ",,"96,570",,"10,374",124,"52,901","1,567","555,367","266,579","2,083,315 ",Europe,19,638,4
S. Korea,"94,686",+488,"1,662 ",+10,"85,743","+1,068","7,281",127,"1,846",32,"7,012,664","136,700","51,299,807 ",Asia,542,"30,866",7
Latvia,"92,274",,"1,737 ",,"82,665",,"7,872",84,"49,301",928,"1,634,662","873,377","1,871,656 ",Europe,20,"1,078",1
Sri Lanka,"86,989",,520 ,,"83,561",,"2,908",,"4,051",24,"2,225,675","103,638","21,475,470 ",Asia,247,"41,299",10
Ghana,"86,737",,656 ,,"81,299",,"4,782",90,"2,752",21,"929,189","29,480","31,518,821 ",Africa,363,"48,047",34
Kyrgyzstan,"86,692",,"1,476 ",,"83,718",,"1,498",16,"13,138",224,"777,840","117,884","6,598,356 ",Asia,76,"4,470",8
Zambia,"83,913",,"1,148 ",,"80,027",,"2,738",192,"4,479",61,"1,148,568","61,301","18,736,566 ",Africa,223,"16,321",16
Montenegro,"82,029",,"1,113 ",,"71,864",,"9,052",69,"130,594","1,772","301,250","479,605","628,121 ",Europe,8,564,2
Estonia,"80,929",,686 ,,"57,716",,"22,527",53,"60,979",517,"1,012,108","762,615","1,327,154 ",Europe,16,"1,935",1
Uzbekistan,"80,347",,622 ,,"79,051",,674,27,"2,377",18,"1,377,915","40,762","33,803,733 ",Asia,421,"54,347",25
Norway,"78,041",,639 ,,"66,014",,"11,388",20,"14,318",117,"3,910,562","717,459","5,450,570 ",Europe,70,"8,530",1
Uruguay,"67,717",,683 ,,"57,773",,"9,261",102,"19,447",196,"1,101,948","316,463","3,482,076 ",South America,51,"5,098",3
Finland,"64,609",,776 ,,"46,000",,"17,833",40,"11,648",140,"3,554,347","640,805","5,546,692 ",Europe,86,"7,148",2
Mozambique,"63,645",,711 ,,"48,616",,"14,318",,"1,998",22,"448,026","14,064","31,855,153 ",Africa,501,"44,803",71
El Salvador,"61,814",,"1,935 ",,"58,440",,"1,439",48,"9,497",297,"794,526","122,068","6,508,877 ",North America,105,"3,364",8
Singapore,"60,070",,29 ,,"59,939",,102,1,"10,212",5,"7,805,264","1,326,935","5,882,175 ",Asia,98,"202,834",1
